DocType: Employee,Salary Mode,طريقة تحصيل المرتب
apps/erpnext/erpnext/hub_node/page/hub/hub.js +67,Register,تسجيل
DocType: Patient,Divorced,مطلق
apps/erpnext/erpnext/hub_node/doctype/hub_settings/hub_settings.py +96,Items already synced,تمت مزامنة الأصناف
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,السماح بإضافة الصنف عدة مرات في معاملة
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py +33,Cancel Material Visit {0} before cancelling this Warranty Claim,إلغاء الزيارة {0} قبل إلغاء طلب الضمان
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +19,Consumer Products,منتجات إستهلاكية
DocType: Purchase Receipt,Subscription Detail,تفاصيل التسجيل
DocType: Supplier Scorecard,Notify Supplier,إخطار المورد
DocType: Item,Customer Items,أصناف العميل
DocType: Project,Costing and Billing,التكاليف و الفوترة
apps/erpnext/erpnext/accounts/doctype/account/account.py +52,Account {0}: Parent account {1} can not be a ledger,الحساب {0}: حسابه الرئيسي الأب {1} لا يمكنه أن يكون دفتر أستاذ
DocType: Item,Publish Item to hub.erpnext.com,نشر الصنف إلى hub.revaluesoft.com
apps/erpnext/erpnext/config/setup.py +88,Email Notifications,إشعارات تنبيه الإيميل
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py +26,Evaluation,تقييم
DocType: Item,Default Unit of Measure,وحدة القياس الإفتراضية
DocType: SMS Center,All Sales Partner Contact,بيانات الإتصال لكل شركاء البيع
DocType: Employee,Leave Approvers,المخولون بالموافقة على الأجازة
DocType: Sales Partner,Dealer,تاجر
DocType: Consultation,Investigations,فحوصات
DocType: Employee,Rented,مؤجر
DocType: Purchase Order,PO-,PO-
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +196,"Stopped Production Order cannot be cancelled, Unstop it first to cancel","لا يمكن إلغاء أوامر الإنتاج المتوقفه, قم بإلغاء الإيقاف أولا حتى تتمكن من الإلغاء"
DocType: Vehicle Service,Mileage,عدد الأميال
apps/erpnext/erpnext/accounts/doctype/asset/asset.js +231,Do you really want to scrap this asset?,هل تريد حقا  تخريد هذه الأصول؟
DocType: Drug Prescription,Update Schedule,تحديث الجدول الزمني
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js +44,Select Default Supplier,حدد المورد الإفتراضي
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py +37,Currency is required for Price List {0},العملة مطلوبة لقائمة الأسعار {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* سيتم احتسابه في المعاملة.
DocType: Purchase Order,Customer Contact,بيانات الإتصال بالعميل
DocType: Patient Appointment,Check availability,التحقق من كونه متاح
DocType: Job Applicant,Job Applicant,طالب الوظيفة
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py +6,This is based on transactions against this Supplier. See timeline below for details,يستند هذا على المعاملات مقابل هذا المورد. أنظر الجدول الزمني أدناه للاطلاع على التفاصيل
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +120,Legal,قانوني
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +174,Actual type tax cannot be included in Item rate in row {0},نوع الضريبه الفعلي لا يمكن تضمينه في سعر الصنف في الصف {0}
DocType: Bank Guarantee,Customer,عميل
DocType: Purchase Receipt Item,Required By,المطلوبة من قبل
DocType: Delivery Note,Return Against Delivery Note,مرتجعات مقابل إذن تسليم بضاعة
DocType: Purchase Order,% Billed,% تم فوترة
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py +43,Exchange Rate must be same as {0} {1} ({2}),يجب أن يكون سعر الصرف نفس {0} {1} ({2})
DocType: Sales Invoice,Customer Name,إسم العميل
DocType: Vehicle,Natural Gas,غاز طبيعي
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py +132,Bank account cannot be named as {0},لا يمكن تسمية الحساب المصرفي بإسم {0}
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,حسابات الأستاذ أو المجموعات المقابلة لأي قيود محاسبية تم إدخالها و حفظها.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +196,Outstanding for {0} cannot be less than zero ({1}),المستحق أو المتبقي لـ {0} لا يمكن أن يكون أقل من الصفر ( {1} )
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.py +357,There are no submitted Salary Slips to process.,لم يتم تقديم أو تسجيل أي كشوف مرتبات ليتم تنفيذها.
DocType: Manufacturing Settings,Default 10 mins,الوضع الأفتراضي 10 دقائق
DocType: Leave Type,Leave Type Name,إسم نوع الأجازه
apps/erpnext/erpnext/templates/pages/projects.js +62,Show open,عرض المفتوح
apps/erpnext/erpnext/templates/emails/recurring_document_failed.html +8,It is necessary to take this action today itself for the above mentioned recurring,من الضروري إتخاذ هذا الإجراء اليوم نفسه من أجل التكرار المذكور أعلاه
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +151,Series Updated Successfully,تم تحديث سلسلة الترقيم بنجاح
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html +18,Checkout,دفع
DocType: Pricing Rule,Apply On,تنطبق على
DocType: Item Price,Multiple Item prices.,أسعار الإغلاق متعددة .
,Purchase Order Items To Be Received,تم إستلام أصناف طلب الشراء
DocType: SMS Center,All Supplier Contact,بيانات إتصال جميع الموردين
DocType: Support Settings,Support Settings,إعدادات الدعم
apps/erpnext/erpnext/projects/doctype/project/project.py +65,Expected End Date can not be less than Expected Start Date,لا يمكن أن يكون (تاريخ الإنتهاء المتوقع) قبل (تاريخ البدء المتوقع)
apps/erpnext/erpnext/utilities/transaction_base.py +110,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,الصف # {0}: السعر يجب أن يكون نفس {1} {2} ({3} / {4})
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +282,New Leave Application,طلب أجازة جديد
,Batch Item Expiry Status,حالة إنتهاء صلاحية الباتش
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +180,Bank Draft,حوالة بنكية
DocType: Membership,membership validaty section,قسم التحقق من العضوية
DocType: Mode of Payment Account,Mode of Payment Account,طريقة حساب الدفع
DocType: Consultation,Consultation,إستشارة
DocType: Accounts Settings,Show Payment Schedule in Print,عرض جدول مواعيد الدفع و السداد في الطباعة
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py +19,Sales and Returns,المبيعات و المرتجعات
apps/erpnext/erpnext/stock/doctype/item/item.js +56,Show Variants,إظهار المتغيرات
DocType: Academic Term,Academic Term,الفصل الدراسي
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py +14,Material,مواد
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py +66,Making website,إنشاء موقع الكتروني
DocType: Opening Invoice Creation Tool Item,Quantity,الكمية
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +544,Accounts table cannot be blank.,جدول الحسابات لا يمكن أن يكون فارغا.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +154,Loans (Liabilities),القروض (الخصوم)
DocType: Employee Education,Year of Passing,سنة التخرج
DocType: Item,Country of Origin,بلد المنشأ
DocType: Soil Texture,Soil Texture Criteria,معايير بنية التربة
